Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
5,"219, 310, 330, 510, 515",29,"01624A451 00468, 02778A005 21674, 02784B066 03859, 04770A333 00959, 04771A333 01015, 12500 022200334, 16060 A14 00277, 20921 000 00020, 21741 570 00090, 22067 000 00170, 39C214218200010, 39C215219200288, 39C226241000405, 39C245258000036, 39C248264500606, 39C27A407800425, 39C362362500211, 39C411408200022, 39C415409300014, 39C612607000012, 39C613607800020, 39C616610500020, 39C617610600015, 39C618610700020, 39C623614000220, 57C32 749 00140, 59C304132500127, 59C306132500068, M3556 028F11307"
6,"30, 107, 215, 330, 510, 515",29,"01C031635 00186, 01C032114300039, 01C206773 00008, 01C210659 00153, 01C412584 00046, 01C802962 00006, 01C804101500406, 01C812101500323, 01C814101500221, 01C816101800111, 01C820101200062, 01C824102700006, 01C828112800018, 04T06 000000000, 04T07 000000000, 11822 000, 21222 000 00000, 23845 000 00031, 49C06 081800000, 49C07 011800000, 49C17 093000000, 59C115098300979, 59C208118600121, 59C223120100135, 59C233120300148, 59C532070400036, 59C539064700497, 59C592085000240, 61C06 018 00061"
7,"210, 215, 306, 310, 330, 510, 515",28,"00906A052 00394, 01401A180 00240, 01402A180 00493, 014942125000609, 01747B450 00873, 039C25270001340, 09996 072900050, 11220A130100485, 11254A146000055, 11932 074100070, 13650B306400100, 13C41 000000010, 14833A193000712, 16619 822 00002, 17396 244 01472, 18044 408700001, 18464 007 13251, 19C149014800001, 19C347   5 1734, 23853 000 00000, 26T06 000 00000, 35C126059901310, 35C133119300120, 39C166195600010, 39C228245800001, 39C414409300007, 470252, 59C215133200014"
5,"12, 109, 215, 306, 331",28,"00444B045 05368, 01344C039 02310, 01420A150 01250, 04076B062 04099, 05038A153 00090, 07089A002 01303, 07498A002 01339, 16413 035 05197, 16607 035 05305, 17416 193 00038, 18144 181 01237, 18262 045 02284, 18277 160 01866, 18479 000000000, 18893 016 00392, 19015 009 28478, 19126 001 25179, 19184 016 08707, 19189 143700090, 19191 000 00000, 19915 007 21342, 19918 007 24429, 19923 000 00003, 20038 033 01389, 20869 028 00577, 20945 047 04630, 22877 000 00000, 23837 242 01203"
5,"216, 228, 330, 510, 515",26,"02786A066 03982, 03583A442 00114, 11812 000, 12077 62101 018, 12436 052100557, 12591A033700147, 12734 031700245, 18920 000 00000, 18C010 52001, 35C110134600187, 35C111134600205, 35C113097900040, 35C119097700070, 35C136105900300, 35C140083000325, 35C152117300085, 35C153134300050, 35C155099300030, 35C164067700960, 35C173088800550, 35C195098500545, 35C209110500080, 35C210106400040, 35C330134900335, 35C343110101570, 35C366087400010"
2,"38, 215",25,"02014A02W 01123, 02462A037 03661, 07369 002 19762, 08870 001 19076, 09015A001 30686, 09055 030 02453, 09254B061 00165, 09254H061C00118, 09391 047 07341, 09392 047 07370, 13514C064 02271, 13514D002C00664, 13514H002 00660, 13514I064 02224, 16014 009 32647, 16302 064 01982, 16637 047C06935, 17198 210 00780, 17302 000 00000, 17303 000 00000, 17304 000 00000, 17305 047 06895, 17307A047C06954, 17307B144C00028, 19199 047 07083"
7,"54, 216, 228, 235, 306, 332, 510",24,"05133 010, 05514 747 00000, 47C01 002 00000, 47C03 000, 47C102091600005, 47C103091600007, 47C13 035 00000, 47C23 073 00000, 47C26 086 00000, 47C30 406, 47C33 505, 47C39 548, 47C48 631, 47C51 631, 47C52 640, 47C70 858, 47C75 906 00000, 47C77 909, 47C78 914, 47C79 921, 47C80 922, 47C86 929, 47C87 932, 47C90 953"
6,"216, 228, 306, 330, 510, 515",24,"03606 049 00025, 03607 049 00035, 03608 049 00041, 03C06 000, 09028 135100360, 12575A040200101, 12594A033200062, 12646 040800011, 12647 040800005, 12717 033300070, 12797A065300088, 18C032067601743, 18C034067601898, 18C035067602075, 34167 003400167, 35C127059900855, 35C221125700140, 35C226121000920, 35C229085802950, 35C364067500290, 37440 374400010, 39C143162000040, 53B143000000000, 72246 072200461"
8,"219, 228, 231, 306, 310, 330, 510, 515",23,"06138 000, 06461 000 00259, 11920A073000394, 11974 072200027, 11987 020L00150, 12244A012200414, 12295A020400119, 12357 022400287, 12383 022300064, 12390A023600038, 12396 023400136, 12398 023400327, 12473 051600298, 12478 051300092, 12497 022200146, 12505 050400210, 12521 050800033, 12543 043000080, 12546 043000229, 12723A000800106, 12725A000800225, 12774 0302  239, 12942 062900054"
6,"215, 225, 310, 330, 510, 515",23,"11242 140400548, 11C09 001B01315, 11C105012200299, 11C10Y015600054, 11C12 009100460, 11C50A001400570, 11C51B001400580, 11C55G005500525, 11C61 005500378, 11C64K018900016, 11C65 018900017, 11C74N017700138, 13380A207600020, 13744B103400010, 13772A210100005, 19635 108 00053, 19636 108 00043, 19C207 127  044, 23858 000 00032, 40059 000, 41C08A11001 001, 57C37 772 00115, 6C118 004C00412"
6,"12, 107, 215, 330, 510, 515",21,"06563 000 00041, 19C053   7  027, 19C077007900069, 19C079013600003, 19C080013500037, 19C089009200001, 19C133020001215, 19C217  28  343, 19C219  27  235, 19C235000602355, 19C240  51  268, 19C351   6 1008, 19C366009400240, 19C414021100005, 20638 004500350, 23031 100 00042, 26T01 000 00000, 26T07 000 00000, 45C101050900151, 45C217055400115, 45R21 097600000"
3,"215, 330, 515",21,"11542F000, 11548F000, 11552 000, 11759 000, 11821F000, 11823 000, 11840 000, 15709A123 00200, 16165 229 00383, 16167 509 00440, 16207 183 00068, 16571 071 00162, 18449 000, 19081 561 00210, 21013 000 00000, 21C16 532 00010, 25E30 C31301000, 29C234946 00046, 35C180098100235, 57C18 586 00020, 65C40 161 00806"
7,"110, 205, 215, 234, 306, 331, 510",20,"00338 02WF03647, 01044 005 14825, 01578A01W 01383, 02417 050 01221, 07956 006 37308, 08122 001 24112, 08193 061C00052, 08218A001 23567, 08221A001 23423, 08221B001 23416, 08221C001 23423, 08221D001 23416, 08221E058 00046, 08397E006 37580, 08397W006 37580, 08398E006 37600, 08398W006 37600, 11841 445 00043, 17342 001 24042, 17352 001 24112"
6,"12, 109, 215, 306, 310, 331",20,"06070A000 00140, 18285 058 00002, 18381       000, 18965 045 01905, 19123 052 07663, 19964 004 18316, 19965 004 20209, 20625 664 00003, 20721 071 04277, 21252 449 00275, 21363 000 00170, 21377 020 01839, 21487 042X00006, 21488 042X00013, 216970249500280, 22430 045 02150, 22431 045 02510, 39C185147500000, 39C186147500000, 39C452439003589"
5,"206, 216, 330, 510, 515",20,"18C023097500520, 18C12A052000985, 35C101109900090, 35C108098400310, 35C112097900250, 35C124109100020, 35C125116700080, 35C134109700070, 35C137056601120, 35C157088900140, 35C158088900190, 35C159098300050, 35C169088700110, 35C175111301, 35C177109300020, 35C179098100165, 35C196111100070, 35C212090400100, 35C223125700560, 35C342087500003"
6,"215, 226, 234, 306, 331, 510",19,"02366B047 05455, 039C09150200031, 04231A016 01406, 06999A047 05445, 08512A035 01980, 08705 069 01015, 08705A069 01015, 08705B069C01015, 08705C069C01015, 09544 02W 08621, 12247A001200043, 12310 000300171, 12463 051500262, 12548 002600113, 17B005000000000, 19C260  48  241, 19C274025100014, 22C02 000100118, 53C042001500750"
6,"12, 104, 215, 306, 310, 331",19,"17945 069 00461, 18355 001 24214, 18356 001 24258, 19217 001 24258, 19958 026 03409, 20008 004 09211, 20207 004 15308, 20552 004 15130, 20720 071 04166, 21015 004 14955, 22272 000 00000, 22300 000 00000, 22302 000 00000, 22324 380 00011, 22533 091 05106, 22568 091 05440, 23931 004 15433, 23932 004 15433, 24326 000 00000"
8,"16, 109, 215, 306, 310, 330, 510, 515",18,"16254 555 00052, 16317 023 00675, 18004 035 00300, 18823 128 00283, 19154 871 00003, 19593 000 00005, 19C264  48  945, 19C275  55  075, 19C331   3 1265, 20414 003 0092, 21153 506 00700, 24219 047 00822, 37C0073-1200530, 39C121109700236, 39C375364000286, 39C43 503600084, 39C449439003433, 39C533507001387"
8,"16, 104, 215, 306, 310, 330, 510, 515",18,"01260A018 00000, 01979B037 00690, 02314A340 02882, 09725 786 00015, 17157 036 01550, 17158 036 01566, 17381 116 61C35, 17944 007 22553, 17987 048 03010, 18533 05340 025, 18951 040 00340, 19614 915 00010, 19933 073 02562, 21426 060700410, 21472 514 00198, 22192 038 00497, 22465 000 00021, 59C458052500743"
5,"16, 110, 215, 331, 510",17,"00438 234 01307, 02180A007 18562, 07821 992 02092, 08563 040 00655, 114005114000002, 18105 000000000, 25B42 000 00030, 33C37 101000031, 470238, 470610000, 530205530200026, 59C705130000221, 59C706130000296, 59C708130000379, 59C721130000494, 59C751130000592, 59C752130000514"
5,"12, 109, 215, 310, 331",17,"039C35622700004, 16744 009 00040, 18009 932 00035, 18346 001 23571, 18903 050 00084, 18908 420000056, 18940 02W 01000, 19161 406 00015, 19625 741 00105, 19879 000 00000, 19957 026 03324, 20418 001 28225, 20970 000 00000, 21077 001 19266, 21451 000 00553, 23890 041 06505, 59C647147500066"
7,"38, 205, 215, 234, 306, 331, 510",16,"00660A021 02342, 02306 201 00097, 07627A001 13325, 07627B001 13325, 07629A001 13200, 07833A001 17474, 07833B001 17474, 07839A001 11344, 08534 002 05604, 08604 002 05099, 08708 511 00556, 09121 006 35020, 09121A006 35020, 09439 001 07139, 09439A001 07139, 09590 022 00057"
8,"12, 109, 205, 215, 234, 300, 310, 331",16,"09310A035 04768, 17053 033R05596, 18347 001 23822, 18408 002 07116, 19098 000 00000, 19627 001 07172, 19630 724 00113, 19709 025 03210, 19848 001 17540, 19850 411 00068, 19941 004 27574, 20475 402 01396, 20556 000 00759, 20788 001 29824, 21406 200 00660, 22009 039 05848"
5,"12, 109, 215, 330, 515",16,"01157A128 00505, 16762 003200243, 45C102107600030, 45C104579C00067, 45C106110900105, 45C111061300041, 45C112073600095, 45C114111100059, 45C115072700043, 45C117068100029, 45C131095300079, 45C132083300110, 45C138068700038, 45C146061200090, 45C149053802903, 45C606080000293"
6,"210, 215, 306, 330, 510, 515",16,"03943A058 03204, 03944A058 03208, 06827A361 01125, 09571 690 00062, 09818 D02 01058, 09819 D56 00080, 09997 042 00620, 09998 042 00698, 09C60 E01 00100, 11742 010 00620, 12957 083300063, 16372 D16 00050, 17C07 B11 00140, 19858 135 00028, 39C634623100001, 59C028105000876"
3,"220, 240, 515",16,"01008A027 04632, 02479A047 02892, 03C264400000000, 09C00440C10100, 10051A760100072, 16416 035 05239, 19584 737 00082, 21243 000 00065, 22190 000 00100, 22391 000 00120, 23095 000 00347, 24021 270 00058, 24366 000 00053, 24367 000 00027, 24368 000 00038, 59C607085000004"
7,"219, 228, 306, 310, 330, 510, 515",15,"07079 000700079, 11931 074100130, 11936 073000030, 11983 067200103, 12276A011100020, 12278 011200018, 12289A001300673, 12573 040200250, 12576 002200008, 12632 001800171, 12804A007A00129, 12827 076400052, 14009 615 00071, 53C104851000171, 84502A845A00002"
4,"216, 330, 510, 515",15,"03582A442 00101, 03584A442 00129, 03585A442 00141, 03587A442 00190, 03589A442 00274, 03590A442 00290, 03592A442 00323, 03593A442 00361, 03935A431 01272, 06834A442 00570, 11797F000, 12003 10102 386, 12696 000900135, 35C174088800620, 35C216080300034"
4,"215, 306, 310, 510",15,"03C04 000 00000, 03C11A000000000, 03C13A000 00000, 03C14A000 00000, 03C26 000, 07T12A000000000, 07T15A000 00084, 07T22A000 00122, 07T32 000 00000, 09765 034, 22037 108100025, 23839 000 00250, 23843 000 01460, 25B48 000, 29C269747 00165"
7,"215, 226, 234, 306, 330, 510, 515",14,"00836A010 01480, 02365A047 05785, 08940 062 03156, 09496 029 02459, 09497 029 02497, 09498 029 02520, 09638 029 01999, 10794A126 00976, 12261 000200323, 16480 000000110, 18C22A098100246, 39C33A423400799, 39C516503000002, 53C027000100495"
7,"16, 104, 215, 310, 330, 510, 515",14,"11171A060400050, 11C151001900079, 15779A051000040, 18802 528 00703, 19779 817 00009, 20042 729 00130, 20072 778 01160, 20149 000 00037, 20178 510 00107, 21740 786 00050, 22348 000 00000, 31C52 B37 00000, 59C190100000686, C1105 064 03199"
5,"219, 225, 310, 330, 515",14,"016515050200867, 016516050200956, 016517050201219, 13C26A211 00470, 15667B060500042, 15690A074200150, 16690 102000073, 18754 00000 001, 19B05A    00001, 19B07A000000000, 39C509502000626, 39C513502000820, 39C514502000923, 39C559522000025"
7,"16, 109, 215, 310, 330, 510, 515",14,"06599A000, 13988A434800663, 15450A030 00634, 20243 C12702339, 20282 080500832, 20479 927 00303, 20928 080500165, 22046 000 00000, 39C16A250000570, 39C32A423400786, 39C629622200315, 40009 000, 49C20 055900000, 582045582000845"
9,"31, 111, 216, 228, 235, 306, 330, 510, 515",14,"14129 000 00050, 14145 000 00050, 14186 000 00010, 14430 262 00048, 35C219125700100, 35C225074700030, 671203186200000, 671206126500020, 671284015900140, 671293C59800000, 671297018700000, 671302059800240, 671314712000110, 671362030400010"
6,"38, 205, 215, 234, 331, 510",14,"01750A301 00476, 03323A380 04361, 04373A007 22774, 04374A007 22840, 06742 050Y00499, 07403B002F04606, 07552A002 07662, 08104 816 00064, 09117 511 00236, 09225 002 10995, 09225A002 10995, 101010101000080, 13353A114301783, 13762A114301480"
5,"12, 109, 215, 301, 331",14,"06083A009 00040, 18010 450010425, 19181 162 06278, 19183 162 06642, 19749 000 00070, 19959 053 11657, 20065 009 00213, 20406 009 Z4752, 20485 449 00390, 20645 001 16958, 20806 000 00000, 21270 858 00414, 21305 001 15454, 24147 000 00107"
7,"16, 104, 215, 306, 310, 331, 510",13,"16267 069 01166, 16864A100000430, 17441 229 04781, 17955 000 00000, 18177 009 21087, 18775 102 03359, 19666 047 00399, 19707 037 04087, 20087 960 00002, 20210 000 00000, 20732 046 00011, 21696 111200240, 241291257 00099"
5,"16, 110, 205, 331, 510",13,"07641 236 00768, 07997 821 00969, 08109 702 00039, 08138 814 00180, 08159 994 02206, 08465 001F21021, 08466 001F20997, 08485A527 00080, 09845 215 01726, 09846 215 01776, 13763A114301410, 37C0301-1100760, 558812003302050"
6,"31, 111, 215, 330, 510, 515",13,"09C125D01 00929, 25D02 C20200772, 31C012083600085, 31C26 673000265, 31C46 000, 31C61 000, 369025369000152, 525015525000045, 530010530000075, 555020555000209, 582035582000746, 65C59 308 00388, 65C61 403 00248"
6,"12, 109, 215, 330, 510, 515",13,"15472A076800114, 15477A103600073, 19871 774 00393, 45C134105200067, 45C142069800477, 45C201084300039, 45C203104400012, 45C208103600364, 45C209055400557, 45C211085300010, 45C218098000044, 45C219086000233, 45C404058702025"
6,"219, 306, 310, 330, 510, 515",13,"09653 018 00089, 15500A014 00159, 17311 066500391, 18043 134904, 22748 000 00000, 37C060000000040, 39C122104100001, 39C181198600014, 39C306313000150, 39C447439000344, 39C525504600012, 39C563523000198, 39C565532400001"
7,"215, 226, 234, 306, 310, 331, 510",13,"01802C161 00550, 03128A414700386, 03940A058 03013, 08317 009 00873, 11226A105 00017, 13461A370000268, 15139B150000477, 16199 062 04538, 16231 009 30000, 16378 069 00746, 19C506 167  036, 43B001000000000, 671313000000000"
7,"31, 111, 216, 228, 330, 510, 515",13,"14546 000, 25A03 C140 0707, 25A72 C10800175, 25A74 C10800315, 25C06 C40402262, 25C13 C409 0784, 25C14 C409 0849, 25C15 C409 0932, 25C19 C40901186, 35C117121000160, 35C154134300190, 35C341085400010, 671354084900300"
4,"38, 215, 331, 510",13,"03638A026 06725, 05203A006 18159, 06677A008 03075, 07032A002 00355, 07297 01EX00487, 07298 01EX00446, 07327 580000085, 07596 001 04308, 08461A060 00021, 08942 002 11423, 09280 061 00233, 23B003000000000, 55C011064400001"
4,"215, 306, 331, 510",13,"01236A009 27380, 02067A102 08639, 02997 191 02423, 03818A038 00998, 03820A038 01175, 03995A018 04833, 09299 774 00697, 09404 009 16648, 09456 301 00564, 16561 004 12360, 18657 341 04258, 23888 857 00014, 25B53 000"
5,"110, 205, 215, 331, 510",13,"01469 041 09404, 01520 111900280, 04181 027 02669, 04841A341 04675, 06204 028 09831, 07573 010 05411, 07970 006C37145, 07C13 041700010, 08012 039 05080, 08195 001 29923, 08426 006C25642, 08614 300 00551, 08702 380 03873"
7,"215, 234, 306, 310, 330, 510, 515",13,"01552A019 05296, 11124A020100002, 11160A060100299, 11826 003 00098, 16767 145 00025, 18243 171 03070, 22386 000 00000, 39C247264500004, 39C305312000084, 39C398383600093, 39C401401800128, 39C423423800313, 45C308091700000"
6,"219, 228, 310, 330, 510, 515",12,"06175 000 00030, 06185 000 00101, 12265 000201247, 12281 040200376, 12372 021700079, 12458 023100044, 12492 052600044, 12493 002300163, 12545 043000134, 12768 076900055, 12817 076500497, 15378 001500378"
7,"38, 215, 306, 310, 330, 510, 515",12,"22654 009 08292, 22663 000 00018, 22664 000 00015, 23859 104400117, 23903 065100065, 24058 000 00000, 24217 000 00880, 24285 C42 00350, 24286 381400099, 24319 073000740, 39C304311200102, 39C313 16S4W23B"
8,"205, 215, 234, 306, 310, 330, 510, 515",12,"00537B014 00632, 00737A058 00446, 06610C244, 15501A51503 711, 16532 007 00025, 17965 000  B-92, 17C59 333500050, 19C017  17 1325, 39C178198200002, 39C55 533600190, 40020 000 00250, 671279061300010"
6,"104, 215, 306, 310, 331, 510",12,"02008A01E 00443, 16813 072C00647, 19916 007 21446, 20621 003 00707, 20729 414700810, 20730 414700864, 211920130700008, 22049 041 00000, 22750 000 00489, 23245 035 00377, 23838A020B00490, 23904 000 00465"
6,"110, 205, 215, 234, 331, 510",12,"00933 027 03860, 01396 032 02185, 01579 020 00002, 07293 066 03286, 07553 002 08189, 08217 001 23571, 08218B001 23567, 08594 006F23505, 08613 300 00663, 08688 039 04479, 08828 009 05932, 08946 002C16416"
6,"12, 109, 215, 301, 310, 331",12,"19026 353 00138, 19680 144000013, 19878 000 00000, 19884 000 00000, 20040 001 17424, 20041 001 17424, 20083 722 00088, 20665001XC25178, 21141 033 01520, 21631022BD00183, 21715 022I00349, 23265 035 03557"
7,"12, 109, 205, 215, 234, 310, 331",12,"08248 001 20906, 08634 002C04635, 09198 052 00031, 09311 035 04863, 09543 02W 08643, 09546 02W 08527, 14867A270000672, 16412 035 05185, 16606 035 05290, 16780 210 00777, 23C202020 01610, 33C35 139000032"
7,"31, 111, 216, 228, 235, 332, 510",12,"11C75E006800118, 14012 061700092, 25A28 C12100206, 25A48 C13400010, 25A54 C11600106, 25A63 C13000026, 25A70 C11000110, 25A71 C11000122, 25C10 C40900104, 25E20 C30701129, 25E27 C31200528, 47C49 634 00000"
8,"12, 109, 205, 215, 234, 301, 310, 331",12,"20026 001 25213, 20039 001 17224, 20276 858 00254, 20370 001 17676, 20557 000 00000, 20585 045 03997, 20597 001 19740, 20598 001 19740, 21234 062 02648, 21365 058 00153, 21382 670 00013, 21576 069 01276"
9,"12, 109, 205, 215, 234, 306, 310, 331, 521",12,"08683 001 02192, 09370 009 28850, 16437 070 00061, 16438 070 00061, 16439 070 00076, 16440 070 00076, 16453 006 17943, 16454 006 17943, 16810 012 03071, 16811 012 03186, 19908 007 19084, 20104 222 01459"
6,"215, 220, 306, 330, 510, 515",12,"05584A076700067, 06394 002 00252, 11398 858 00680, 11960 090300300, 12629 073900083, 12729 000700196, 12905 083800089, 12962 835 00005, 14436 000 00990, 16765 082300057, 22C07 001700425, 59C408067500465"
